,watt,Ir,Iy,Ib,Vr,Vy,Vb,PF,distance
329,18,11.07,1.47,7.14,241.3,243.37,243.47,0.96,330
330,18,11.08,1.48,7.14,241.22,243.49,243.76000000000002,0.957,360
331,18,10.23,1.47,7.08,244.23000000000002,246.20000000000002,246.19,0.955,360
332,18,11.06,1.48,7.16,241.73000000000002,243.57,243.57,0.957,360
333,18,11.02,1.48,7.1499999999999995,241.54000000000002,243.46,243.23000000000002,0.957,360
334,18,11.08,1.48,6.56,240.6,242.59,242.38,0.956,360
335,18,11.11,1.49,6.59,240.06,242.27,242.13,0.956,360
336,18,11.129999999999999,1.49,7.17,239.51000000000002,241.71,241.6,0.957,360
337,18,11.049999999999999,1.48,7.1499999999999995,241.11,243.46,243.25,0.957,360
338,18,11.03,1.48,7.14,241.92000000000002,244.17000000000002,243.9,0.957,360
339,18,10.23,1.47,6.52,243.1,245.72,245.37,0.954,360
340,18,10.26,1.48,6.55,242.1,244.54000000000002,244.18,0.954,360
341,18,10.37,1.49,7.22,239.86,242.20000000000002,241.81,0.956,360
342,18,9.959999999999999,1.51,5.989999999999999,238.97,241.18,240.73000000000002,0.955,360
343,18,10.06,1.55,6.069999999999999,238.87,241.03,240.70000000000002,0.954,360
344,18,10.219999999999999,1.45,7.029999999999999,247.77,249.15,249.6,0.956,360
345,18,10.2,1.45,7.01,248.41,250.23000000000002,250.6,0.956,360
346,18,10.18,1.45,7.01,248.55,250.37,250.8,0.955,360
347,18,10.129999999999999,1.45,6.9799999999999995,249.70000000000002,251.45000000000002,252.08,0.955,360
